,obs,obs_text,reward,reward_text,score,skeleton
10,"[-0.03983011  1.4548185  -0.3583371   0.29181868  0.05306137  0.11697125
  0.          0.        ]","Observation from last step: 
X coordinate: -0.039830
Y coordinate: 1.45
X velocity: -0.36
Y velocity: 0.29
Angle of the lander: 0.05
Angular velocity of lander: 0.2924281358718872
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0",-2.288628430197565,The reward from the last step was: -2.29,-20.366001067503706,"
_
Observation from last step: 
X coordinate: -0.039830
Y coordinate: 1.45
X velocity: -0.36
Y velocity: 0.29
Angle of the lander: 0.05
Angular velocity of lander: 0.2924281358718872
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0
The reward from the last step was: -2.29
score: Score: -20.366001067503706

Action: 
"
11,"[-0.04356117  1.4619261  -0.37821537  0.315702    0.05812145  0.10121064
  0.          0.        ]","Observation from last step: 
X coordinate: -0.043561
Y coordinate: 1.46
X velocity: -0.38
Y velocity: 0.32
Angle of the lander: 0.06
Angular velocity of lander: 0.2530265972018242
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0",-4.580274441364298,The reward from the last step was: -4.58,-24.946275508868005,"
_
Observation from last step: 
X coordinate: -0.043561
Y coordinate: 1.46
X velocity: -0.38
Y velocity: 0.32
Angle of the lander: 0.06
Angular velocity of lander: 0.2530265972018242
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0
The reward from the last step was: -4.58
score: Score: -24.946275508868005

Action: 
"
12,"[-0.04725533  1.4697989  -0.37494472  0.34967467  0.06360636  0.10970813
  0.          0.        ]","Observation from last step: 
X coordinate: -0.047255
Y coordinate: 1.47
X velocity: -0.37
Y velocity: 0.35
Angle of the lander: 0.06
Angular velocity of lander: 0.27427032589912415
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0",-3.6502339265470765,The reward from the last step was: -3.65,-28.596509435415083,"
_
Observation from last step: 
X coordinate: -0.047255
Y coordinate: 1.47
X velocity: -0.37
Y velocity: 0.35
Angle of the lander: 0.06
Angular velocity of lander: 0.27427032589912415
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0
The reward from the last step was: -3.65
score: Score: -28.596509435415083

Action: 
"
13,"[-0.05112343  1.4784029  -0.39178827  0.38218248  0.06853677  0.0986173
  0.          0.        ]","Observation from last step: 
X coordinate: -0.051123
Y coordinate: 1.48
X velocity: -0.39
Y velocity: 0.38
Angle of the lander: 0.07
Angular velocity of lander: 0.246543250977993
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0",-5.128593139276165,The reward from the last step was: -5.13,-33.72510257469125,"
_
Observation from last step: 
X coordinate: -0.051123
Y coordinate: 1.48
X velocity: -0.39
Y velocity: 0.38
Angle of the lander: 0.07
Angular velocity of lander: 0.246543250977993
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0
The reward from the last step was: -5.13
score: Score: -33.72510257469125

Action: 
"
14,"[-0.05493183  1.4872441  -0.3862723   0.39268452  0.07392861  0.1078464
  0.          0.        ]","Observation from last step: 
X coordinate: -0.054932
Y coordinate: 1.49
X velocity: -0.39
Y velocity: 0.39
Angle of the lander: 0.07
Angular velocity of lander: 0.2696160040795803
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0",-2.086577959646166,The reward from the last step was: -2.09,-35.81168053433741,"
_
Observation from last step: 
X coordinate: -0.054932
Y coordinate: 1.49
X velocity: -0.39
Y velocity: 0.39
Angle of the lander: 0.07
Angular velocity of lander: 0.2696160040795803
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0
The reward from the last step was: -2.09
score: Score: -35.81168053433741

Action: 
"
15,"[-0.05872602  1.4965883  -0.38517508  0.41500542  0.07964145  0.11426686
  0.          0.        ]","Observation from last step: 
X coordinate: -0.058726
Y coordinate: 1.50
X velocity: -0.39
Y velocity: 0.42
Angle of the lander: 0.08
Angular velocity of lander: 0.28566714376211166
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0",-3.357650677286375,The reward from the last step was: -3.36,-39.169331211623785,"
_
Observation from last step: 
X coordinate: -0.058726
Y coordinate: 1.50
X velocity: -0.39
Y velocity: 0.42
Angle of the lander: 0.08
Angular velocity of lander: 0.28566714376211166
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0
The reward from the last step was: -3.36
score: Score: -39.169331211623785

Action: 
"
16,"[-0.0627017   1.5063199  -0.40271544  0.43222573  0.08475005  0.10218139
  0.          0.        ]","Observation from last step: 
X coordinate: -0.062702
Y coordinate: 1.51
X velocity: -0.40
Y velocity: 0.43
Angle of the lander: 0.08
Angular velocity of lander: 0.2554534748196602
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0",-4.254787752668125,The reward from the last step was: -4.25,-43.42411896429191,"
_
Observation from last step: 
X coordinate: -0.062702
Y coordinate: 1.51
X velocity: -0.40
Y velocity: 0.43
Angle of the lander: 0.08
Angular velocity of lander: 0.2554534748196602
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0
The reward from the last step was: -4.25
score: Score: -43.42411896429191

Action: 
"
17,"[-0.06669416  1.5161189  -0.4044958   0.43520337  0.08995698  0.10414822
  0.          0.        ]","Observation from last step: 
X coordinate: -0.066694
Y coordinate: 1.52
X velocity: -0.40
Y velocity: 0.44
Angle of the lander: 0.09
Angular velocity of lander: 0.26037055999040604
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0",-2.1560382080901546,The reward from the last step was: -2.16,-45.58015717238206,"
_
Observation from last step: 
X coordinate: -0.066694
Y coordinate: 1.52
X velocity: -0.40
Y velocity: 0.44
Angle of the lander: 0.09
Angular velocity of lander: 0.26037055999040604
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0
The reward from the last step was: -2.16
score: Score: -45.58015717238206

Action: 
"
18,"[-0.07075462  1.5261489  -0.41120476  0.4454571   0.09507937  0.10245694
  0.          0.        ]","Observation from last step: 
X coordinate: -0.070755
Y coordinate: 1.53
X velocity: -0.41
Y velocity: 0.45
Angle of the lander: 0.10
Angular velocity of lander: 0.25614235550165176
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0",-3.0407014509210795,The reward from the last step was: -3.04,-48.620858623303135,"
_
Observation from last step: 
X coordinate: -0.070755
Y coordinate: 1.53
X velocity: -0.41
Y velocity: 0.45
Angle of the lander: 0.10
Angular velocity of lander: 0.25614235550165176
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0
The reward from the last step was: -3.04
score: Score: -48.620858623303135

Action: 
"
19,"[-0.07497339  1.5365701  -0.4265872   0.46285883  0.0997582   0.09358501
  0.          0.        ]","Observation from last step: 
X coordinate: -0.074973
Y coordinate: 1.54
X velocity: -0.43
Y velocity: 0.46
Angle of the lander: 0.10
Angular velocity of lander: 0.2339625172317028
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0",-4.1509324583010025,The reward from the last step was: -4.15,-52.771791081604135,"
_
Observation from last step: 
X coordinate: -0.074973
Y coordinate: 1.54
X velocity: -0.43
Y velocity: 0.46
Angle of the lander: 0.10
Angular velocity of lander: 0.2339625172317028
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0
The reward from the last step was: -4.15
score: Score: -52.771791081604135

Action: 
"
20,"[-0.07940073  1.5477096  -0.4468693   0.49480772  0.10387745  0.082392
  0.          0.        ]","Observation from last step: 
X coordinate: -0.079401
Y coordinate: 1.55
X velocity: -0.45
Y velocity: 0.49
Angle of the lander: 0.10
Angular velocity of lander: 0.20597999915480614
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0",-5.573858502339095,The reward from the last step was: -5.57,-58.34564958394323,"
_
Observation from last step: 
X coordinate: -0.079401
Y coordinate: 1.55
X velocity: -0.45
Y velocity: 0.49
Angle of the lander: 0.10
Angular velocity of lander: 0.20597999915480614
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0
The reward from the last step was: -5.57
score: Score: -58.34564958394323

Action: 
"
21,"[-0.08383627  1.5596229  -0.44810414  0.52915573  0.10840023  0.09046369
  0.          0.        ]","Observation from last step: 
X coordinate: -0.083836
Y coordinate: 1.56
X velocity: -0.45
Y velocity: 0.53
Angle of the lander: 0.11
Angular velocity of lander: 0.2261592261493206
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0",-4.632354471850607,The reward from the last step was: -4.63,-62.97800405579383,"
_
Observation from last step: 
X coordinate: -0.083836
Y coordinate: 1.56
X velocity: -0.45
Y velocity: 0.53
Angle of the lander: 0.11
Angular velocity of lander: 0.2261592261493206
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0
The reward from the last step was: -4.63
score: Score: -62.97800405579383

Action: 
"
22,"[-0.0883586   1.5719812  -0.45672107  0.54892105  0.11287167  0.08943661
  0.          0.        ]","Observation from last step: 
X coordinate: -0.088359
Y coordinate: 1.57
X velocity: -0.46
Y velocity: 0.55
Angle of the lander: 0.11
Angular velocity of lander: 0.22359151393175125
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0",-4.073850374292522,The reward from the last step was: -4.07,-67.05185443008635,"
_
Observation from last step: 
X coordinate: -0.088359
Y coordinate: 1.57
X velocity: -0.46
Y velocity: 0.55
Angle of the lander: 0.11
Angular velocity of lander: 0.22359151393175125
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0
The reward from the last step was: -4.07
score: Score: -67.05185443008635

Action: 
"
23,"[-0.09288387  1.5845528  -0.45728287  0.5583693   0.11761304  0.09483583
  0.          0.        ]","Observation from last step: 
X coordinate: -0.092884
Y coordinate: 1.58
X velocity: -0.46
Y velocity: 0.56
Angle of the lander: 0.12
Angular velocity of lander: 0.2370895817875862
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0",-2.8195789725999303,The reward from the last step was: -2.82,-69.87143340268628,"
_
Observation from last step: 
X coordinate: -0.092884
Y coordinate: 1.58
X velocity: -0.46
Y velocity: 0.56
Angle of the lander: 0.12
Angular velocity of lander: 0.2370895817875862
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0
The reward from the last step was: -2.82
score: Score: -69.87143340268628

Action: 
"
24,"[-0.09745054  1.5976617  -0.46164054  0.58221716  0.12257559  0.09925946
  0.          0.        ]","Observation from last step: 
X coordinate: -0.097451
Y coordinate: 1.60
X velocity: -0.46
Y velocity: 0.58
Angle of the lander: 0.12
Angular velocity of lander: 0.24814864620566368
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0",-4.262468006994271,The reward from the last step was: -4.26,-74.13390140968055,"
_
Observation from last step: 
X coordinate: -0.097451
Y coordinate: 1.60
X velocity: -0.46
Y velocity: 0.58
Angle of the lander: 0.12
Angular velocity of lander: 0.24814864620566368
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0
The reward from the last step was: -4.26
score: Score: -74.13390140968055

Action: 
"
25,"[-0.10225801  1.6111743  -0.48500666  0.6002036   0.12681006  0.0846893
  0.          0.        ]","Observation from last step: 
X coordinate: -0.102258
Y coordinate: 1.61
X velocity: -0.49
Y velocity: 0.60
Angle of the lander: 0.13
Angular velocity of lander: 0.21172324195504189
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0",-4.966359829028465,The reward from the last step was: -4.97,-79.10026123870901,"
_
Observation from last step: 
X coordinate: -0.102258
Y coordinate: 1.61
X velocity: -0.49
Y velocity: 0.60
Angle of the lander: 0.13
Angular velocity of lander: 0.21172324195504189
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0
The reward from the last step was: -4.97
score: Score: -79.10026123870901

Action: 
"
26,"[-0.10700836  1.6247597  -0.47981706  0.6033766   0.13156885  0.09517591
  0.          0.        ]","Observation from last step: 
X coordinate: -0.107008
Y coordinate: 1.62
X velocity: -0.48
Y velocity: 0.60
Angle of the lander: 0.13
Angular velocity of lander: 0.23793978616595268
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0",-2.085214950870397,The reward from the last step was: -2.09,-81.1854761895794,"
_
Observation from last step: 
X coordinate: -0.107008
Y coordinate: 1.62
X velocity: -0.48
Y velocity: 0.60
Angle of the lander: 0.13
Angular velocity of lander: 0.23793978616595268
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0
The reward from the last step was: -2.09
score: Score: -81.1854761895794

Action: 
"
27,"[-0.11174984  1.6386046  -0.47931606  0.6148709   0.13671589  0.1029404
  0.          0.        ]","Observation from last step: 
X coordinate: -0.111750
Y coordinate: 1.64
X velocity: -0.48
Y velocity: 0.61
Angle of the lander: 0.14
Angular velocity of lander: 0.25735098868608475
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0",-3.0999352603198984,The reward from the last step was: -3.10,-84.2854114498993,"
_
Observation from last step: 
X coordinate: -0.111750
Y coordinate: 1.64
X velocity: -0.48
Y velocity: 0.61
Angle of the lander: 0.14
Angular velocity of lander: 0.25735098868608475
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0
The reward from the last step was: -3.10
score: Score: -84.2854114498993

Action: 
"
28,"[-0.11660691  1.6526898  -0.49069673  0.62553984  0.1416858   0.09939825
  0.          0.        ]","Observation from last step: 
X coordinate: -0.116607
Y coordinate: 1.65
X velocity: -0.49
Y velocity: 0.63
Angle of the lander: 0.14
Angular velocity of lander: 0.24849561974406242
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0",-3.777235060483849,The reward from the last step was: -3.78,-88.06264651038315,"
_
Observation from last step: 
X coordinate: -0.116607
Y coordinate: 1.65
X velocity: -0.49
Y velocity: 0.63
Angle of the lander: 0.14
Angular velocity of lander: 0.24849561974406242
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0
The reward from the last step was: -3.78
score: Score: -88.06264651038315

Action: 
"
29,"[-0.12153759  1.6670499  -0.49809137  0.63773656  0.14669958  0.10027573
  0.          0.        ]","Observation from last step: 
X coordinate: -0.121538
Y coordinate: 1.67
X velocity: -0.50
Y velocity: 0.64
Angle of the lander: 0.15
Angular velocity of lander: 0.2506893314421177
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0",-3.6852056828919215,The reward from the last step was: -3.69,-91.74785219327507,"
_
Observation from last step: 
X coordinate: -0.121538
Y coordinate: 1.67
X velocity: -0.50
Y velocity: 0.64
Angle of the lander: 0.15
Angular velocity of lander: 0.2506893314421177
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0
The reward from the last step was: -3.69
score: Score: -91.74785219327507

Action: 
"
30,"[-0.12644987  1.682275   -0.4970011   0.67609733  0.15245716  0.11515167
  0.          0.        ]","Observation from last step: 
X coordinate: -0.126450
Y coordinate: 1.68
X velocity: -0.50
Y velocity: 0.68
Angle of the lander: 0.15
Angular velocity of lander: 0.28787916526198387
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0",-5.42222469990985,The reward from the last step was: -5.42,-97.17007689318491,"
_
Observation from last step: 
X coordinate: -0.126450
Y coordinate: 1.68
X velocity: -0.50
Y velocity: 0.68
Angle of the lander: 0.15
Angular velocity of lander: 0.28787916526198387
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0
The reward from the last step was: -5.42
score: Score: -97.17007689318491

Action: 
"
31,"[-0.13147001  1.6981272  -0.5078553   0.7039289   0.15829611  0.11677887
  0.          0.        ]","Observation from last step: 
X coordinate: -0.131470
Y coordinate: 1.70
X velocity: -0.51
Y velocity: 0.70
Angle of the lander: 0.16
Angular velocity of lander: 0.2919471822679043
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0",-5.391486096667495,The reward from the last step was: -5.39,-102.5615629898524,"
_
Observation from last step: 
X coordinate: -0.131470
Y coordinate: 1.70
X velocity: -0.51
Y velocity: 0.70
Angle of the lander: 0.16
Angular velocity of lander: 0.2919471822679043
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0
The reward from the last step was: -5.39
score: Score: -102.5615629898524

Action: 
"
32,"[-0.13674363  1.7143703  -0.53253603  0.7213612   0.16345781  0.10323396
  0.          0.        ]","Observation from last step: 
X coordinate: -0.136744
Y coordinate: 1.71
X velocity: -0.53
Y velocity: 0.72
Angle of the lander: 0.16
Angular velocity of lander: 0.25808488950133324
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0",-5.339930670772435,The reward from the last step was: -5.34,-107.90149366062484,"
_
Observation from last step: 
X coordinate: -0.136744
Y coordinate: 1.71
X velocity: -0.53
Y velocity: 0.72
Angle of the lander: 0.16
Angular velocity of lander: 0.25808488950133324
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0
The reward from the last step was: -5.34
score: Score: -107.90149366062484

Action: 
"
33,"[-0.1421338   1.73069    -0.54397494  0.7247655   0.16842769  0.0993977
  0.          0.        ]","Observation from last step: 
X coordinate: -0.142134
Y coordinate: 1.73
X velocity: -0.54
Y velocity: 0.72
Angle of the lander: 0.17
Angular velocity of lander: 0.24849426001310349
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0",-3.42323623202775,The reward from the last step was: -3.42,-111.32472989265258,"
_
Observation from last step: 
X coordinate: -0.142134
Y coordinate: 1.73
X velocity: -0.54
Y velocity: 0.72
Angle of the lander: 0.17
Angular velocity of lander: 0.24849426001310349
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0
The reward from the last step was: -3.42
score: Score: -111.32472989265258

Action: 
"
34,"[-0.14765596  1.7469449  -0.5568465   0.7219036   0.173072    0.09288576
  0.          0.        ]","Observation from last step: 
X coordinate: -0.147656
Y coordinate: 1.75
X velocity: -0.56
Y velocity: 0.72
Angle of the lander: 0.17
Angular velocity of lander: 0.23221438750624657
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0",-2.9818491408314456,The reward from the last step was: -2.98,-114.30657903348403,"
_
Observation from last step: 
X coordinate: -0.147656
Y coordinate: 1.75
X velocity: -0.56
Y velocity: 0.72
Angle of the lander: 0.17
Angular velocity of lander: 0.23221438750624657
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0
The reward from the last step was: -2.98
score: Score: -114.30657903348403

Action: 
"
35,"[-0.15334654  1.7637454  -0.57354057  0.7461619   0.17755608  0.08968201
  0.          0.        ]","Observation from last step: 
X coordinate: -0.153347
Y coordinate: 1.76
X velocity: -0.57
Y velocity: 0.75
Angle of the lander: 0.18
Angular velocity of lander: 0.22420501336455345
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0",-5.41147897736771,The reward from the last step was: -5.41,-119.71805801085173,"
_
Observation from last step: 
X coordinate: -0.153347
Y coordinate: 1.76
X velocity: -0.57
Y velocity: 0.75
Angle of the lander: 0.18
Angular velocity of lander: 0.22420501336455345
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0
The reward from the last step was: -5.41
score: Score: -119.71805801085173

Action: 
"
36,"[-0.15933399  1.7810252  -0.602444    0.7675417   0.18127678  0.0744139
  0.          0.        ]","Observation from last step: 
X coordinate: -0.159334
Y coordinate: 1.78
X velocity: -0.60
Y velocity: 0.77
Angle of the lander: 0.18
Angular velocity of lander: 0.18603473901748657
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0",-5.907502631771581,The reward from the last step was: -5.91,-125.62556064262331,"
_
Observation from last step: 
X coordinate: -0.159334
Y coordinate: 1.78
X velocity: -0.60
Y velocity: 0.77
Angle of the lander: 0.18
Angular velocity of lander: 0.18603473901748657
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0
The reward from the last step was: -5.91
score: Score: -125.62556064262331

Action: 
"
